name,value
g_1s1,0.0
w_1s1,-0.0
theta_1s1,0.0
g_1s2,0.0
w_1s2,10.0
theta_1s2,20.0
g_1s3,0.0
w_1s3,10.0
theta_1s3,0.0
c_1,0.0
Z_1,0.0
g_Gs1,20.000000000000004
theta_Gs1,30.000000000000004
g_Gs2,30.0
theta_Gs2,30.0
g_Gs3,10.0
theta_Gs3,10.0
c_G,0.0
Z_G,1.0
g_3s1,0.0
w_3s1,10.0
theta_3s1,10.0
g_3s2,0.0
w_3s2,10.0
theta_3s2,10.0
g_3s3,0.0
w_3s3,0.0
theta_3s3,0.0
c_3,0.0
Z_3,0.0
g_2s1,0.0
w_2s1,10.0
theta_2s1,0.0
g_2s2,0.0
w_2s2,10.0
theta_2s2,0.0
g_2s3,0.0
w_2s3,0.0
theta_2s3,0.0
c_2,0.0
Z_2,0.0
f_1_2s1,0.0
F_1_2s1,0.0
f_1_2s2,0.0
F_1_2s2,0.0
f_1_2s3,0.0
F_1_2s3,0.0
c_1_2,30.0
X_1_2,0.0
f_3_Gs1,-20.000000000000004
F_3_Gs1,0.0
f_3_Gs2,-20.0
F_3_Gs2,0.0
f_3_Gs3,0.0
F_3_Gs3,1.0
c_3_G,0.0
f_2_Gs1,0.0
F_2_Gs1,1.0
f_2_Gs2,0.0
F_2_Gs2,1.0
f_2_Gs3,0.0
F_2_Gs3,1.0
c_2_G,0.0
f_2_3s1,-10.0
F_2_3s1,0.0
f_2_3s2,-10.0
F_2_3s2,0.0
f_2_3s3,0.0
F_2_3s3,0.0
c_2_3,0.0
X_2_3,1.0
f_1_Gs1,0.0
F_1_Gs1,1.0
f_1_Gs2,-10.0
F_1_Gs2,0.0
f_1_Gs3,-10.0
F_1_Gs3,0.0
c_1_G,15.0
