scenario,type,value
28,1depth,189.2
43,1depth,189.2
23,1depth,189.2
24,1depth,166.39999999999998
25,1depth,189.2
26,1depth,189.2
27,1depth,189.2
20,1depth,166.39999999999998
21,1depth,189.2
48,1depth,166.39999999999998
49,1depth,189.2
46,1depth,189.2
47,1depth,189.2
44,1depth,189.2
45,1depth,189.2
42,1depth,166.39999999999998
29,1depth,189.2
40,1depth,189.2
41,1depth,189.2
1,1depth,189.2
0,1depth,189.2
3,1depth,189.2
2,1depth,189.2
5,1depth,189.2
4,1depth,189.2
7,1depth,188.93658536585377
6,1depth,189.2
9,1depth,166.39999999999998
8,1depth,189.2
39,1depth,189.2
12,1depth,189.2
14,1depth,166.39999999999998
11,1depth,189.2
10,1depth,189.2
13,1depth,166.39999999999998
38,1depth,189.2
15,1depth,189.2
22,1depth,189.2
17,1depth,166.39999999999998
16,1depth,189.2
19,1depth,189.2
32,1depth,189.2
31,1depth,189.2
30,1depth,189.2
37,1depth,189.2
36,1depth,189.2
35,1depth,189.2
34,1depth,189.2
33,1depth,189.2
18,1depth,189.2
28,fullcascade,189.2
43,fullcascade,189.2
23,fullcascade,189.2
24,fullcascade,166.39999999999998
25,fullcascade,189.2
26,fullcascade,189.2
27,fullcascade,189.2
20,fullcascade,166.39999999999998
21,fullcascade,189.2
48,fullcascade,163.99999999999997
49,fullcascade,181.00000000000006
46,fullcascade,181.00000000000006
47,fullcascade,189.2
44,fullcascade,189.2
45,fullcascade,181.00000000000006
42,fullcascade,166.39999999999998
29,fullcascade,189.2
40,fullcascade,189.2
41,fullcascade,181.00000000000006
1,fullcascade,189.2
0,fullcascade,189.2
3,fullcascade,177.50000000000006
2,fullcascade,189.2
5,fullcascade,181.00000000000006
4,fullcascade,189.2
7,fullcascade,189.2
6,fullcascade,189.2
9,fullcascade,166.39999999999998
8,fullcascade,189.2
39,fullcascade,189.2
12,fullcascade,189.2
14,fullcascade,166.39999999999998
11,fullcascade,189.2
10,fullcascade,189.2
13,fullcascade,166.39999999999998
38,fullcascade,189.2
15,fullcascade,189.2
22,fullcascade,189.2
17,fullcascade,144.10000000000002
16,fullcascade,189.2
19,fullcascade,189.2
32,fullcascade,189.2
31,fullcascade,189.2
30,fullcascade,181.00000000000006
37,fullcascade,181.00000000000006
36,fullcascade,189.2
35,fullcascade,189.2
34,fullcascade,181.00000000000006
33,fullcascade,189.2
18,fullcascade,181.00000000000006
