line_upgrade_cost_coef_scale,line_establish_cost_coef_scale,line_upgrade_capacity_coef_scale,line_establish_capacity_coef_scale,set_decision_var_priorities,runtime,net_runtime_simulations,best_incumbent
1.0,5.0,40.2301675977654,80.4603351955307,True,7525.295225406321,3105.5102827971846,2655.44
1.0,5.0,40.2301675977654,80.4603351955307,True,7823.055577821209,3376.877970627727,2655.44
1.0,5.0,40.2301675977654,80.4603351955307,True,9656.31277247969,5020.2941837719445,2685.8200000000006
1.0,5.0,40.2301675977654,80.4603351955307,True,11297.098109328374,6446.452437103004,2748.72
1.0,5.0,40.2301675977654,80.4603351955307,True,16715.69893040477,11158.262982243006,3177.8399999999997
1.0,5.0,40.2301675977654,80.4603351955307,True,17618.76881036082,11929.51472666769,3178.8
1.0,5.0,40.2301675977654,80.4603351955307,True,20346.97208323176,14184.420454490497,3667.52
1.0,5.0,40.2301675977654,80.4603351955307,True,22142.34317585843,15642.086538141535,3773.6800000000003
1.0,5.0,40.2301675977654,80.4603351955307,True,23024.723568101184,16328.654516730854,3805.96
1.0,5.0,40.2301675977654,80.4603351955307,True,24361.404369744363,17361.782745847177,3891.6400000000017
1.0,5.0,40.2301675977654,80.4603351955307,True,25499.180036346268,18213.259459686997,3928.0800000000017
1.0,5.0,40.2301675977654,80.4603351955307,True,29311.203355075293,21092.144046484962,4001.1600000000017
1.0,5.0,40.2301675977654,80.4603351955307,True,29559.18406606613,21267.720608744523,4014.7200000000016
1.0,5.0,40.2301675977654,80.4603351955307,True,29854.335547920444,21460.986111731323,4102.660000000002
1.0,5.0,40.2301675977654,80.4603351955307,True,29909.472649133342,21497.157890664763,4108.180000000002
1.0,5.0,40.2301675977654,80.4603351955307,True,30024.684485763428,21572.828682719326,4108.180000000002
1.0,5.0,40.2301675977654,80.4603351955307,True,43362.84247484589,NA,4106.4571681870475
